Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
ER_RNA_122,122,IEWFS0008,1238170,Gs0135149,Gb0205608,Gp0396400,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_122",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA566924,SAMN12794406,503568,ER_RNA_122,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_122",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
122,122,IEWFS0008,,,,,747954; 748002; 743563; 724409; 724060; 724410; 769666; 769657; 738655; 738656; 738657; 738652; 738653; 739462,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_123,123,IEWFS0009,1196582,Gs0135149,Gb0191651,Gp0321271,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_123",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518560,SAMN10864149,503568,ER_DNA_123,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_123",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_123,123,IEWFS0009,1238171,Gs0135149,Gb0205609,Gp0396401,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_123",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621682,SAMN14514954,503568,ER_RNA_123,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_123",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
123,123,IEWFS0009,,,,,747939; 747987; 748035; 743564; 723583; 723584; 724061; 769699; 769651; 738661; 738662; 739463; 738658; 738659; 738660,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
134,134,IEWFS000A,,,,,705701; 705927; 705704; 705929; 705930; 705703; 705928; 705707; 717358; 717365; 717359; 717366; 717360; 717367; 715134; 713582; 713591; 713600; 705702; 705705; 705706,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
135,135,IEWFS000B,,,,,705708; 705711; 705710; 705933; 705714; 715135; 715136; 715137; 713583; 713592; 713601; 705709; 705931; 705932; 705712; 705713; 705934,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_139,139,IEWFS000C,1196583,Gs0135149,Gb0191652,Gp0321272,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_139",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518561,SAMN10864148,503568,ER_DNA_139,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_139",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_139,139,IEWFS000C,1202972,Gs0135149,Gb0192078,Gp0324006,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_139",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622045,SAMN14515501,503568,ER_RNA_139,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_139",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
139,139,IEWFS000C,,,,,724063; 724411; 769704; 769647,Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_140,140,IEWFS000D,1196584,Gs0135149,Gb0191653,Gp0321273,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_140",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518562,SAMN10864389,503568,ER_DNA_140,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_140",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_140,140,IEWFS000D,1202973,Gs0135149,Gb0192079,Gp0324007,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_140",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622046,SAMN14515397,503568,ER_RNA_140,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_140",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
140,140,IEWFS000D,,,,,747957; 748005; 743566; 723588; 723589; 724412; 771470; 769639; 738671; 738672; 738673; 738668; 738669,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_141,141,IEWFS000E,1196585,Gs0135149,Gb0191654,Gp0321274,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_141",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518563,SAMN10864399,503568,ER_DNA_141,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_141",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_141,141,IEWFS000E,1202974,Gs0135149,Gb0192080,Gp0324008,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_141",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622047,SAMN14515040,503568,ER_RNA_141,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_141",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
141,141,IEWFS000E,,,,,747938; 747986; 748034; 743567; 724413; 723591; 724064; 771473; 769663; 738677; 738678; 739465; 738674; 738675; 738676,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_142,142,IEWFS000F,1196586,Gs0135149,Gb0191655,Gp0321275,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_142",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518564,SAMN10864182,503568,ER_DNA_142,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_142",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_142,142,IEWFS000F,1202975,Gs0135149,Gb0192081,Gp0324009,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,5-9-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_142",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA622048,SAMN14515039,503568,ER_RNA_142,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_142",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
142,142,IEWFS000F,,,,,723592; 723593; 724065,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
