Type	JGI ID	GOLD Study	DOI	EMSL UP#	Title	PI Name	PM	Organism	EMSL Data	Notes	JGI list	Priority
EMSL 2018	503576	Gs0135152	10.25585/1487491	49986	Combining high resolution organic matter characterization and microbial meta-omics to assess the effects of nutrient loading on salt marsh carbon sequestration	Bowen, Jennifer	Nicole Shapiro	microbial consortia inhabiting salt marsh sediment 	FTICR		X	2
EMSL 2018	503568	Gs0135149	10.25585/1488224	49991	The synchronization of microbial and plant phenology in a mountainous watershed and its importance for nutrient retention under changing hydrologic regimes.	Brodie, Eoin	Tijana Glavina del Rio	Soil Organic Matter	Lipids and FTICR		X	2
EMSL 2014	1438			48085	Development of novel approaches to target microbial drivers of C cycling in soil aggregates	Hofmockel, Kirsten	Tijana Glavina del Rio	Soil Microbiome	Requested Bioreactors and CISA		X	Bottom of Priority
EMSL 2014	1441			48081	Functional genomics of moss-cyanobacteria interactions in boreal forest ecosystems	Weyman, Philip	Kerrie Barry	Moss-Cyanobacterial Co-cultures	Proteomics 		X	Check metagenome for communities
EMSL 2015	1785			48468	Mapping the metabolism of nutrient and carbon exchange in the plant-microbe symbiosis 2015	Cumming, Jonathan	Christa Pennacchio	Populus and its symbiotic rhizocommunities 	Proteomics and Metabolomics	Populus	X	Check metagenome for communities
EMSL 2014	1468			48100	Genome-enabled Investigations of the Role of Secreted Proteins and Reactive Metabolites in Carbon Degradation by Pure and Mixed Ascomycete Fungal Communities	Hansel, Colleen	Kerrie Barry	Ascomycete Fungi: Single Organism	Proteomics and Chemical Imaging			
EMSL 2014	1391			48096	EMSL/JGI joint project: Organelles promoting high level terpenoid biosynthesis in filamentous fungi.	Kistler, H. Corby	Kerrie Barry	Fusarium graminearum 	Proteomics 			
EMSL 2014	1373			48080	Transcriptomic Characterization of Anaerobic Gut Fungi	O'Malley, Michelle	Kerrie Barry	Anaerobic Gut Fungal Isolates	Proteomics	single organisms		
EMSL 2014	1323			48079	Engineering morphology and secretion to enhance the productivity of fungal fermentations	Harris, Steven	Kerrie Barry	Filamentous Fungi	Proteomics	Aspergillus_nidulans		
EMSL 2015	1784			48488	Elucidating the Influences of Engineered N-glycosylation Motifs in Bacterial Biomass Hydrolyzing Enzymes upon Heterologous and Native Gene Expression, Secretion and Degradation in Aspergillus niger	Magnuson, Jon	Vivian Ng	Aspergillus niger 	Proteomics and Intact Proteins			
EMSL 2015	1783			48459	Dissecting intraspecies diversity in fungal wood decay	de Vries, Ronald	Vivian Ng	Dichomitus squalens. 	Proteins, Metabolites and Lipids			
EMSL 2015	1776			48480	Integrated genomic/transcriptomic/secretomic study of plant-fungal interactions between pines and their symbiotic ectomycorrhizal fungi in the mushroom genus Suillus	Vilgalys, Rytas	Kerrie Barry	mycorrhizome Communities	Proteomics and Chemical Imaging	single organisms	X	
EMSL 2015	1775			48452	Quantifying Differential Expression and Identifying Bottlenecks in Methanogenic Pathways	Luthey-Schulten, Zaida	Christa Pennacchio	Single Methanogenic Cultures	Proteomics			
EMSL 2016	2587			49022	Integrated Omics Analyses of 100 Populus Genotypes for Crop Improvement	Pan, Chongle	Kerrie Barry	Poplar	Proteomics and Lipids			
EMSL 2016	2585			49011	Specialized Ribosomes: A New Frontier in Gene Regulation	Bell-Pedersen, Deborah	Christa Pennacchio	Neurospora crassa 	Proteomics and Intact Proteins			
EMSL 2016	2582			49003	Building the phage-host-nutrient interaction data to scale from genes-to-ecosystems: Towards predictive modeling of wild microbial and viral communities dynamics	Duhaime, Melissa	Tijana Glavina del Rio	Pseudoalteromonas phage-host system 	Proteins, Metabolites Lipids and FTICR			
EMSL 2017	503148			49515	Understanding conversion of biomass-derived carbon into lipids and terpenoids in the oleaginous yeast Rhodosporidium toruloides	Skerker, Jeffrey	Vivian Ng	Rhodosporidium toruloides 	Proteins, Metabolites and Lipids			
EMSL 2017	503126			49500	Global warming induced salinity shifts: metabolic responses by algal-bacterial consortia	Cattolico, Rose Ann	Nicole Shapiro	Algae	Lipids and FTICR		X	
EMSL 2017	503121			49510	Systems analysis of grass stem development for biofuel production	Bartley, Laura	Vivian Ng	Rice	Proteomics and Metabolomics			
