table	field	mixs_term	mixs_label	mixs_definition	is_map	notes
biosample	soil_crop_rotation	crop_rotation	history/crop rotation	"Whether or not crop is rotated, and if yes, rotation schedule"		
biosample	soil_agrochem_addition	agrochem_addition	history/agrochemical additions	"Addition of fertilizers, pesticides, etc. - amount and time of applications"		
biosample	soil_tillage	tillage	history/tillage	Note method(s) used for tilling		
biosample	soil_fire	fire	history/fire	Historical and/or physical evidence of fire		
biosample	soil_flodding	flooding	history/flooding	Historical and/or physical evidence of flooding		
biosample	soil_extreme_event	extreme_event	history/extreme events	Unusual physical events that may have affected microbial populations		
biosample	soil_horizon	horizon	horizon	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath		
biosample	soil_horizon_method	horizon_meth	horizon method	Reference or method used in determining the horizon		
biosample	soil_seiving	sieving	composite design/sieving (if any)	Collection design of pooled samples and/or sieve size and amount of sample sieved 		
biosample	soil_water_content	water_content	water content	Water content measurement		
biosample	soil_water_content_soil_meth	water_content_soil_meth	water content method	Reference or method used in determining the water content of soil		
biosample	sample_weight_dna_ext	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	"Volume (ml), weight (g) of processed sample, or surface area swabbed from sample for DNA extraction"		
biosample	soil_pool_dna_extracts	pool_dna_extracts	pooling of DNA extracts (if done)	"Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given"		
biosample	soil_store_condition	store_cond	storage conditions (fresh/frozen/other)	Explain how and for how long the soil sample was stored before DNA extraction		
biosample	soil_link_climate_info	link_climate_info	link to climate information	Link to climate resource		
biosample	soil_annual_season_temp	season_temp or annual_temp?	mean seasonal temperature or mean annual temperature?	Mean seasonal temperature; Mean annual temperature		
biosample	soil_annual_season_precpt 	season_precpt or annual_precpt?	mean seasonal precipitation or mean annual precipitation?	"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.; The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps. "		
biosample	soil_link_class_info	link_class_info	link to classification information	Link to digitized soil maps or other soil classification information		
biosample	soil_fao_class	fao_class	soil_taxonomic/FAO classification	Soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups		
biosample	soil_local_class	local_class	soil_taxonomic/local classification	Soil classification based on local soil classification system		
biosample	soil_local_class_method	local_class_meth	soil_taxonomic/local classification method	Reference or method used in determining the local soil classification 		
biosample	soil_type	soil_type	soil type	Soil series name or other lower-level classification		
biosample	soil_type_method	soil_type_meth	soil type method	Reference or method used in determining soil series name or other lower-level classification		
biosample	soil_slope_gradient	slope_gradient	slope gradient	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer		
biosample	soil_slope_aspect	slope_aspect	slope aspect	"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration."		
biosample	soil_profile_position	profile_position	profile position	Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas		
biosample	soil_drainage_class	drainage_class	drainage classification	Drainage classification from a standard system such as the USDA system		
biosample	soil_texture	texture	texture	"The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional."		
biosample	soil_texture_method	texture_meth	texture method	Reference or method used in determining soil texture		
biosample	soil_ph_method	ph_meth	pH method	Reference or method used in determining ph		
biosample	tot_org_carbon	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"		
biosample	soil_tot_org_c_method	tot_org_c_meth	total organic carbon method	Reference or method used in determining total organic carbon		
biosample	tot_nitrogen	tot_nitro_content	total nitrogen content	Total nitrogen content of the sample		
biosample	soil_tot_n_method	tot_nitro_content_meth	total nitrogen content method	Reference or method used in determining the total nitrogen		
biosample	soil_microbial_biomass	microbial_biomass	microbial biomass	"The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units"		
biosample	soil_microbial_biomass_method	microbial_biomass_meth	microbial biomass method	Reference or method used in determining microbial biomass		
biosample	soil_link_addit_analys	link_addit_analys	links to additional analysis	Link to additional analysis results performed on the sample		
biosample		extreme_salinity	extreme_unusual_properties/salinity	Measured salinity 		
biosample	soil_salinity_method	salinity_meth	extreme_unusual_properties/salinity method	Reference or method used in determining salinity		
biosample	soil_heavy_metals	heavy_metals	extreme_unusual_properties/heavy metals	Heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations		
biosample	soil_heavy_metals_method	heavy_metals_meth	extreme_unusual_properties/heavy metals method	Reference or method used in determining heavy metals		
biosample	soil_aluminum_sat	al_sat	extreme_unusual_properties/Al saturation	Aluminum saturation (esp. For tropical soils)		
biosample	soil_aluminum_sat_method	al_sat_meth	extreme_unusual_properties/Al saturation method	Reference or method used in determining Al saturation		
biosample	soil_misc_param	misc_param	miscellaneous parameter	"Any other measurement performed or parameter collected, that is not listed here"		
